
Cobertura,Fecha,%_Total,%_Hombres,%_Mujeres
Nacional,2003,20.2,4.1,16.1
Nacional,2004,19.4,4,15.4
Nacional,2005,19.4,4.1,15.3
Nacional,2006,19,4.1,14.8
Nacional,2007,19.7,4.3,15.4
Nacional,2008,19.3,4.3,15
Nacional,2009,20.2,4.6,15.6
Nacional,2010,20.4,4.8,15.7
Nacional,2011,20.8,4.9,15.9
Nacional,2012,21,5,16
Nacional,2013,22.1,5.3,16.8
Nacional,2014,22.6,5.5,17.1
Nacional,2015,23.1,5.7,17.4
Nacional,2016,23.1,5.7,17.4
Nacional,2017,23.2,5.7,17.5
Nacional,2018,23.5,5.8,17.7
