Entidades,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020
,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Segundo trimestre,Tercer trimestre,Cuarto trimestre,Primer trimestre,Tercer trimestre,Cuarto trimestre
Michoacan de Ocampo,189736,178895,164550,188199,162929,185092,175822,175276,159000,183518,199591,238778,204336,233375,198705,231171,186848,195529,181006,209535,195715,185428,200065,206489,208211,205558,204680,222472,223131,224676,235816,247500,243714,235448,219418,239400,231554,239007,244228,243489,223264,177138,230146
Morelos,91631,84883,78481,86666,77340,87558,84904,90756,84138,92341,88225,94800,84932,96460,89247,97008,91391,93541,94918,96493,93906,101496,98229,101537,103969,97654,103033,100316,96075,92281,94495,97093,95394,103585,103319,105844,106207,107970,103156,114462,105742,90221,99322
Nayarit,36038,43008,38105,42567,36973,41309,40132,43040,44856,40261,40216,40786,33363,40785,32736,41886,31138,38093,38305,38145,37486,40713,38063,39070,37298,45681,44675,45221,44045,44519,39022,45289,45590,44639,43424,46353,45932,51632,50410,51256,52433,33791,56026
Nuevo Leon,106755,110295,105341,103735,98537,124226,122006,133280,131149,126735,125331,131010,115943,111693,107989,125737,119813,118558,120789,124601,119877,117577,118282,117994,131284,108915,132406,129134,127069,111596,134033,136365,135850,130761,129739,138822,146598,133732,142305,138794,140558,78868,86221
Oaxaca,130013,134232,127204,138764,121803,119934,128458,131359,139466,143984,131117,144013,139313,136965,123231,127352,142907,136903,149813,140148,148460,144785,138694,155263,130522,140536,139136,139293,146632,148000,149233,134878,143757,166322,150052,174412,156326,173967,160650,165221,175023,139687,166628
Puebla,255365,276930,299073,297037,277553,289426,287015,287650,278058,284791,255441,290915,270950,291198,305120,299515,273685,275460,273275,301496,289956,302484,329944,328389,287309,318562,329468,309248,302759,342138,328809,324080,315188,317574,338597,336270,300357,330352,337937,340510,338464,314004,363228
Queretaro,53982,60803,55180,61200,60716,70741,69665,70023,66459,71593,71073,68721,54045,58098,57695,59146,57916,63079,58820,63422,64217,62681,61568,70261,63992,60098,65402,56797,64126,68672,59029,61409,72823,77207,73133,66442,57731,58612,55051,55920,72302,54763,65933
Quintana Roo,38400,39138,34599,37450,39275,42212,41879,45683,44133,46872,49607,50100,39910,48871,42923,40229,43310,46826,49214,44040,48149,50541,53294,62525,51288,53216,58715,59567,60879,54516,54086,54356,55277,57854,63347,56733,62177,54575,55391,53012,49426,34416,39904
San Luis Potosi,66197,74706,75953,78858,68302,77426,76942,81959,71442,81953,81000,84036,71318,82120,90509,93297,76588,84172,88142,77789,85149,86631,93234,93612,86390,97050,94938,99323,90523,99190,108089,90880,89726,95588,92401,82583,85491,86925,93216,97666,95950,81672,105007
Sinaloa,91538,73545,64590,69778,66983,56508,62911,77235,95557,84043,61971,78113,81845,85903,61155,80239,86015,75307,71306,81618,93512,81804,78923,89959,100106,87199,80612,91206,91580,85558,93371,94809,120479,88102,90764,80985,103793,99125,96324,92787,103951,61603,73733
Sonora,78477,88350,85160,93508,94410,80968,96204,89127,84340,97794,84153,103514,90270,105374,86691,90475,91568,97968,90316,88773,87671,102728,96340,95556,107758,109992,96846,101759,105530,109862,97556,96009,97606,94343,72805,93664,97578,103562,94671,117499,108891,80261,97035
Tabasco,61843,58610,62567,66995,54339,62879,65019,70262,55213,62407,65908,59968,52343,64736,62545,67351,62849,67543,61789,69367,63214,77612,81348,69248,69526,78656,76062,75106,68328,74810,70928,67985,59352,71206,63775,67148,59356,82512,78040,87965,89577,52823,62128
Tamaulipas,94157,79165,102294,101185,90881,107744,115155,124831,98485,111993,95631,118927,91785,100580,93892,97775,90510,99263,109339,105924,97029,95481,95243,97601,93323,103986,86819,102704,93307,90966,95421,101758,86942,105112,101291,90713,86407,91807,105271,103089,100075,49265,62227
Tlaxcala,54945,60293,58878,65760,55440,56378,59956,64162,55407,62149,63433,65260,62178,71023,71690,68871,66952,68437,69495,67471,68454,71132,72484,69939,69800,77089,75359,74085,75670,69107,79501,74144,75146,74198,80039,76885,75399,79535,77120,80945,76780,54219,70311
Veracruz de Ignacio de la Llave,255092,260989,234438,277230,243615,273488,268912,254440,271671,285258,305672,310213,283588,303934,298047,305078,295850,267643,267365,283382,271537,277268,269797,296026,290151,292034,277517,289345,326660,293088,295512,294395,310313,296050,310138,308581,335307,330876,327808,315285,279393,179195,237209
Yucatan,60935,71227,65465,63204,58825,64065,71336,64611,63328,70049,66025,66871,59776,65755,73801,74850,64675,71838,69285,58842,58564,66836,62839,71353,58781,68704,68782,64105,65219,59176,63848,65319,68226,71853,69512,76445,66820,66833,75013,76029,62836,60317,65279
Zacatecas,37995,38846,38181,37350,31771,39468,40764,42197,37266,40096,39722,40001,37388,39945,38120,37657,38213,37746,43907,40604,40959,37768,40618,38169,39332,42741,39960,41710,43289,38887,41247,42343,47770,40761,38582,41458,47156,42611,44200,42187,49937,57709,52391
